Grade	Teacher	Name	Choice 1	Choice 2	Choice 3	Choice 4	Choice 5	Override 1	Override 2	Note
3	Sam	Pedrosa, Bob	14	7	16	5	10			
3	Sam	Heart, Junko	2	14	15	12	10			
3	Sam	Ader, Wei	5	13	4	8	12			
3	Sam	Hillery, Robbie	1	5	9					
3	Sam	Goble, Evita	4	14	1	7	5			
3	Sam	Hooton, Luis	12	4	1	5	7			
3	Sam	Brunson, Mariah	9	8	7	2	13			
3	Sam	Tomes, Tressie	2	3	4	5	14			
3	Sam	Drake, Arianna	1	4	2	7	6			
3	Sam	Shelman, Morris	1	12	4	9	6			
3	Sam	Dolloff, Bari	14	1	2	11	12			
3	Sam	Whitely, Blair	4	9	10	2	14			
3	Sam	Morant, Denita	12	3	5	9	14			
3	Sam	Martino, Bradly	5	7	1	8	10			
3	Sam	Stancill, Mariah	7	2	4	8	17			
3	Sam	Perin, Berry	14	2	8	12	16			
3	Sam	Humphries, Briana	2	1	4	7	8			
3	Sam	Mariner, Beulah	12	14	9	15	2			
3	Sam	Ryman, Carlota	1	13	16	2	14			
3	Sam	Wald, Angle	1	5	9					
3	Callejas	Eckles, Tawana	1	18	2	14	17			
3	Callejas	Wen, Asuncion	1	11	7	18				
3	Callejas	Lamoureux, Dotty	2	1	5	12	18			
3	Callejas	Creekmore, Lakenya	1	12	10	5	18			
3	Callejas	Batz, Malika	18	7	3	16	15			
3	Callejas	Haskett, Hayley	1	2	9	12	15			
3	Callejas	Kimball, Janel	18	2	1	10	13			
3	Callejas	Julia, Yong	4	6	7	12	16			
3	Callejas	George, Cyrus	2	7	16	17	18			
3	Callejas	Primm, Ilona	18	2	5	11	1			
3	Callejas	Lambert, Ignacia	5	8	9	18	12			
3	Callejas	Drexler, Arcelia	1	2	7	12	17			
3	Callejas	Edlund, Arleen	1	14	17	18				
3	Callejas	Smythe, Antonietta	12	1	7					
3	Callejas	Oren, Shirl	11	7	5	14	1			
3	Callejas	Fergerson, Victorina	1	5	15	18	13			
3	Callejas	Kellman, Shelia	18	3	4	12	14			
3	Callejas	Faz, Danille	14	1	18	3	10			
3	Callejas	Caver, Jennine	1	12	14	18	6			
3	Cassidy	Sandell, Maryln	17	4	8	15	17			
3	Cassidy	Bane, Irma	1	14	9	8	7			
3	Cassidy	Haile, Ryan	14	2	1	3	8			
3	Cassidy	Kucharski, Robby	1	7	14	15	18			
3	Cassidy	Quintanar, Wilford	1	4	5	8				
3	Cassidy	Deck, Catherine	14	7	11	16	18			
3	Cassidy	Snuggs, Marisol	1	14	5	7	12			
3	Cassidy	Le, Patsy	1	7	12	5	4			
3	Cassidy	Streich, Armandina	8	14	12	4	15			
3	Cassidy	Osterman, Krysten	5	8	2	14	12			
3	Cassidy	Mcdonagh, Bette	14	16	9	11	7			
3	Cassidy	Saffell, Lashaun	16	14	1	5	12			
3	Cassidy	Bruckner, Lashell	4	8	15	14	17			
3	Cassidy	Dennehy, Vanesa	1	2	5	4	18			
3	Cassidy	Schomer, Jeanne	1	4	5	8	10			
3	Cassidy	Speciale, Christinia	14	10	13	12	1			
3	Cassidy	Thrailkill, Ja	1	7	4	9	13			
3	Cassidy	Stolte, Yahaira	1	8	12	18	9			
3	Cassidy	Bernal, Lorita	1	3	5	9	18			
3	Eckel	Evenson, Shizuko	14	6	1	7	3			
3	Eckel	Hudman, Jazmin	1	10	14	9	8			
3	Eckel	Lupi, Janet	1	8	11	13				
3	Eckel	Mascorro, Gloria	1	8	12	14	17			
3	Eckel	Sobotka, Luella	4	5	6	14	16			
3	Eckel	Carty, Dovie	1	6	5	2	8			
3	Eckel	Swayze, Fonda	14	5	7	9	16			
3	Eckel	Camilleri, Jamison	1	2	7	9	14			
3	Eckel	Keels, Jaime								
3	Eckel	Perret, Paula	12	14	9	1	5			
3	Eckel	Stookey, Lavone	2	10	17	14	6			
3	Eckel	Fujita, Donita	1	12	18					
3	Eckel	Rudolph, Nery								
3	Eckel	Cienfuegos, Fay	1	7	8	11	18			
3	Eckel	Botts, Noreen	4	5	6	14	16			
3	Eckel	Sherrard, Porsha	12	1	14	9	3			
